Timestamp,X,Y,Z,Left_X,Left_Y,Left_Z,Left_ROLL,Left_YAW,Left_PITCH,Right_X,Right_Y,Right_Z,Right_ROLL,Right_YAW,Right_PITCH
0.35,-6.15425402724209e-05,-0.0163324570928239,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.36,-6.42686398871917e-05,-0.0170559225980162,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.37,-6.70984960330043e-05,-0.0178069235134117,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.38,-7.00376085751214e-05,-0.018586919419863,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.39,-7.30916536506413e-05,-0.0193974166780959,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.4,-7.62664945700647e-05,-0.0202399713218186,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.41,-7.95681930186179e-05,-0.0211161920303844,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.42,-8.22445783319923e-05,-0.0220269213549598,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.43,-8.053014474792e-05,-0.0229697952732321,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.44,-7.02573997747855e-05,-0.0239420760127306,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.45,-4.86503769552437e-05,-0.0249425987847217,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.46,-1.44642124140569e-05,-0.0259719264589869,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.47,3.24818050517105e-05,-0.0270318471469916,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.48,9.18240633171263e-05,-0.0281248146433938,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.49,0.000163022135640158,-0.0292535541200856,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.5,0.000245554082610435,-0.0304208546683802,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.51,0.000338989069853662,-0.0316294950460405,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.52,0.000442994214525449,-0.0328822408804798,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.53,0.000557316495432749,-0.0341818687979994,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.54,0.000681761767153845,-0.0355311929936634,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.55,0.000816179340304784,-0.0369330841126382,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.56,0.000960453216836032,-0.0383904781830491,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.57,0.00111449820804591,-0.0399063771331719,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.58,0.00127825876181757,-0.0414838452809234,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.59,0.0014517088794621,-0.0431260107656028,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.6,0.00163485218507521,-0.0448360884843105,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
