Timestamp,X,Y,Z,Left_X,Left_Y,Left_Z,Left_ROLL,Left_YAW,Left_PITCH,Right_X,Right_Y,Right_Z,Right_ROLL,Right_YAW,Right_PITCH
0,0,0,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.01,-9.7774273313736e-08,-1.87732104092732e-05,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.02,-6.8346809813023e-07,-0.000131229719018756,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.03,-1.8171586318768e-06,-0.000348904677959469,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.04,-3.32859174650135e-06,-0.000639108337048221,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.05,-5.02648777428703e-06,-0.000965113924227685,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.06,-6.77642735611889e-06,-0.00130111216650386,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.07,-8.5086866878559e-06,-0.00163371570131895,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.08,-1.01997348123454e-05,-0.0019584064525494,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.09,-1.18508351807274e-05,-0.00227542700992039,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.1,-1.34726558938165e-05,-0.00258682570879122,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.11,-1.50769493082233e-05,-0.00289485906773248,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.12,-1.66733522952078e-05,-0.00320137742022881,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.13,-1.82689731550379e-05,-0.00350774559991241,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.14,-1.98690626369324e-05,-0.00381497178016622,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.15,-2.14778369288189e-05,-0.00412386549278634,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.16,-2.30990864700262e-05,-0.00443515452344331,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.17,-2.47365161817405e-05,-0.00474955023784325,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.18,-2.63938863228898e-05,-0.00506777462685001,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.19,-2.80750425507171e-05,-0.00539056607828418,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.2,-2.97839014196896e-05,-0.0057186765926322,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.21,-3.15244283411411e-05,-0.00605286755117366,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.22,-3.33006230237232e-05,-0.00639390692046614,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.23,-3.51165150454687e-05,-0.00674256840215632,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.24,-3.69761671490423e-05,-0.00709963206568683,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.25,-3.88836829265782e-05,-0.00746588582382812,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.26,-4.08432163409815e-05,-0.00784212726082202,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.27,-4.2858981635237e-05,-0.00822916553502469,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.28,-4.49352630352221e-05,-0.00862782324190131,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.29,-4.70764241414858e-05,-0.00903893821730041,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.3,-4.92869171118463e-05,-0.00946336530056431,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.31,-5.15712917794105e-05,-0.00990197808524017,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.32,-5.39342048238962e-05,-0.0103556706800254,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
